Year,County,Retail_sum,Index_Total_sum,Violent_Total_sum,Murder_sum,Rape_sum,Robbery_sum,Aggravated_Assault_sum,Property_Total_sum,Burglary_sum,Larceny_sum,Motor_Vehicle_Theft_sum,Region,Crime_Rate_Change,FFR,Population_Estimate,FFRPopulation,Crimepopulation,retailpop
2016,Richmond,510,6313,1589,21,99,422,1047,4724,488,3989,247,New York City,Decrease,314,474214,1510,75,929.8313725490196
2016,Rockland,312,7176,768,4,96,208,460,6408,524,5648,236,Non-New York City,Decrease,277,323640,1168,45,1037.3076923076924
2016,Saratoga,231,5694,516,4,148,50,314,5178,650,4328,200,Non-New York City,Decrease,51,109411,2145,19,473.64069264069263
2016,Schenectady,197,9370,1386,14,160,332,880,7984,1146,6340,498,Non-New York City,Decrease,159,227048,1428,24,1152.527918781726
2016,Schoharie,56,768,72,0,50,6,16,696,132,540,24,Non-New York City,Decrease,127,154473,1216,201,2758.4464285714284
2016,Schuyler,31,236,26,0,8,0,18,210,46,158,6,Non-New York City,Decrease,13,31307,2408,133,1009.9032258064516
2016,Seneca,49,1286,134,0,54,2,78,1152,190,938,24,Non-New York City,Decrease,10,17948,1795,14,366.2857142857143
2016,St Lawrence,143,3478,346,2,132,44,168,3132,552,2520,60,Non-New York City,Decrease,22,34731,1579,10,242.87412587412587
2016,Steuben,134,3052,376,2,146,28,200,2676,462,2128,86,Non-New York City,Decrease,46,96895,2106,32,723.0970149253732
2016,Suffolk,1649,46184,3792,66,302,1224,2200,42392,4264,35782,2346,Non-New York City,Decrease,1340,1486804,1110,32,901.6397816858703
2016,Sullivan,153,2458,394,8,136,46,204,2064,530,1464,70,Non-New York City,Decrease,53,74977,1415,31,490.0457516339869
2016,Tioga,50,926,126,2,50,8,66,800,158,604,38,Non-New York City,Decrease,25,48822,1953,53,976.44
2016,Tompkins,96,3914,320,4,122,42,152,3594,506,3014,74,Non-New York City,Decrease,79,102938,1303,26,1072.2708333333333
2016,Ulster,295,5288,594,8,150,72,364,4694,792,3772,130,Non-New York City,Decrease,141,179080,1270,34,607.0508474576271
2016,Warren,128,2402,224,4,82,18,120,2178,264,1888,26,Non-New York City,Decrease,66,64428,976,27,503.34375
2016,Washington,77,1190,194,0,104,10,80,996,204,766,26,Non-New York City,Decrease,32,61767,1930,52,802.1688311688312
2016,Wayne,107,3246,320,6,114,40,160,2926,626,2202,98,Non-New York City,Decrease,65,90754,1396,28,848.1682242990654
2016,Westchester,979,25086,4232,48,288,1536,2360,20854,2656,16980,1218,Non-New York City,Decrease,770,970556,1260,39,991.3748723186925
2016,Wyoming,46,654,96,6,28,2,60,558,104,446,8,Non-New York City,Decrease,24,40406,1684,62,878.3913043478261
2016,Yates,53,640,34,0,12,2,20,606,156,446,4,Non-New York City,Decrease,14,25023,1787,39,472.1320754716981
2011,Albany,374,21454,2332,14,94,792,1432,19122,3142,15478,502,Non-New York City,Stable,313,304564,973,14,814.3422459893048
2011,Allegany,68,1790,128,0,26,8,94,1662,380,1242,40,Non-New York City,Stable,21,48787,2323,27,717.4558823529412
2011,Bronx,2199,35130,12267,148,204,4580,7335,22863,3395,17358,2110,New York City,Stable,871,1397366,1604,40,635.4552069122328
2011,Broome,240,13286,1042,6,112,252,672,12244,2132,9880,232,Non-New York City,Stable,167,199346,1194,15,830.6083333333333
2011,Cattaraugus,92,3850,324,2,32,34,256,3526,720,2736,70,Non-New York City,Stable,42,79819,1900,21,867.5978260869565
2011,Cayuga,83,3434,364,6,62,34,262,3070,612,2390,68,Non-New York City,Stable,49,79693,1626,23,960.156626506024
2011,Chautauqua,150,7374,606,2,68,132,404,6768,1724,4870,174,Non-New York City,Stable,93,134198,1443,18,894.6533333333333
2011,Chemung,105,4556,354,2,26,56,270,4202,814,3306,82,Non-New York City,Stable,58,88893,1533,20,846.6
2011,Chenango,75,2144,114,0,34,6,74,2030,456,1538,36,Non-New York City,Stable,18,50183,2788,23,669.1066666666667
2011,Clinton,127,3380,148,2,32,12,102,3232,612,2568,52,Non-New York City,Stable,43,81716,1900,24,643.4330708661417
2011,Columbia,134,2468,192,2,10,26,154,2276,504,1740,32,Non-New York City,Stable,35,62512,1786,25,466.5074626865672
2011,Cortland,65,2208,148,0,38,16,94,2060,428,1598,34,Non-New York City,Stable,31,49378,1593,22,759.6615384615385
2011,Delaware,101,1626,152,2,32,16,102,1474,418,1014,42,Non-New York City,Stable,30,47578,1586,29,471.0693069306931
2011,Dutchess,383,11354,1250,14,84,300,852,10104,1914,7890,300,Non-New York City,Stable,214,298118,1393,26,778.3759791122716
2011,Erie,1122,62822,8402,80,390,3430,4502,54420,12954,38392,3074,Non-New York City,Stable,729,919747,1262,15,819.7388591800357
2011,Essex,82,1234,94,0,32,0,62,1140,366,740,34,Non-New York City,Stable,23,39256,1707,32,478.7317073170732
2011,Franklin,66,1946,122,2,20,4,96,1824,442,1324,58,Non-New York City,Stable,29,51541,1777,26,780.9242424242424
2011,Fulton,65,3210,122,0,26,16,80,3088,652,2356,80,Non-New York City,Stable,36,55115,1531,17,847.9230769230769
2011,Genesee,79,2878,224,0,36,24,164,2654,520,2056,78,Non-New York City,Stable,29,59886,2065,21,758.0506329113924
2011,Greene,77,1662,210,0,16,14,180,1452,412,982,58,Non-New York City,Stable,32,48850,1527,29,634.4155844155844
2011,Hamilton,16,116,2,0,2,0,0,114,50,58,6,Non-New York City,Stable,4,4826,1207,42,301.625
2011,Herkimer,72,2724,282,2,22,28,230,2442,618,1780,44,Non-New York City,Stable,38,64373,1694,24,894.0694444444445
2011,Jefferson,157,4962,364,4,36,48,276,4598,738,3690,170,Non-New York City,Stable,93,117769,1266,24,750.1210191082803
2011,Kings,4184,59014,18182,198,347,7090,10547,40832,6144,31752,2936,New York City,Stable,1856,2540822,1369,43,607.2710325047801
